,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
greek_italiote_pelike_hellenistic_age_-300BCE_258,-0.34268873377275366,-2.273909229200114,-0.6625698814185529,-1.6810975700841118,-0.6631141275967138,-0.8793276084470711,0.40121525659188684,0.6179420070117961,-0.3639767843708431,1.7312788295160908,-0.6093282656838488,-0.015242915953272151,-0.5679828080503695,-0.1310251899368345,-0.008676747680263108,0.11244013889127913,0.10189437657355349,0.0419912582447077,-0.08939575397679321,0.07960638309504159
greek_italiote_pelike_iron_age_-350BCE_204,-1.211480478326139,-0.8399642087252559,0.8705307719666597,-2.412421323444986,-0.16704916648009516,-1.373245458826885,-0.25702839727988613,0.019506061629613068,-0.015053109751482663,-0.5676027583516348,-0.0023718970679978135,-0.073925885846957,0.13707175046593184,-0.7433546314587318,-0.16953085261113915,-0.49600142376892753,0.14315030114438027,0.016869736357421644,0.3280321109338112,0.2585708262184222
greek_loutrophoros_iron_age_-450BCE_158,1.7184633049198208,-3.4418998125976916,0.021497101695067022,-0.5678671171537074,-0.489272040565872,0.4684475927690516,0.15473476444560458,0.683150589315155,0.07307024697444911,-0.06753311048316668,-0.06970091491695851,-0.15060392147561452,-0.11361921155163696,0.218776728092793,-0.13225125140109056,0.14463051324992848,0.24008892110719757,0.024445028419284365,-0.2396389459594466,-0.03755626832609482
greek_loutrophoros_hellenistic_age_-150BCE_295,4.614370335676146,0.9248723981694752,-1.6212879120190251,0.24273745682306536,-0.9808268031079366,-0.3605862077412257,0.4593134126440363,0.8214022274745033,0.011257620517029998,-0.5432364236618668,-0.32059953149874343,-0.28657423707467666,-0.11678236728279875,0.6332049058078115,-0.6284823386394905,-0.21116897722214112,-0.47958417024837535,0.30275772031505604,0.13183924130648683,0.174542257725937
greek_loutrophoros_iron_age_-600BCE_288,0.8257036029778138,-1.384986864713412,-1.8846949824404213,0.31025394051151817,-0.007335550364382812,1.0032203062643703,-0.7857398266932001,-0.045095753895125504,0.17573181316904574,-0.2139501685136177,0.4507961666865068,0.8577487505781584,-0.8257474969094897,0.13268305222543317,0.33264422861600873,-0.5608109591131316,0.03178595306971434,-0.12671600349120354,0.08330087368926153,0.07749641147140349
greek_loutrophoros_iron_age_-500BCE_213,1.7777256595619568,-2.305122636516809,-0.6039979729392482,0.7094302507488398,-0.5218370558195721,-0.08068729237866457,-0.27239908279010816,-0.08906348818634385,-0.09342949046114607,-0.08153618873911439,0.1868154511892991,-0.006851018385983454,-0.3842337157519886,-0.26321396133338354,0.06486548171081198,0.07180590516527458,0.18240286330326155,0.09387114569375599,0.4798461891297381,-0.04962132042268344
greek_loutrophoros_iron_age_-450BCE_164,3.6481973367603717,0.7710225057438329,-1.3812997314564024,-0.3083940463534216,-0.2124925960371411,0.08305815654588244,-0.45126145793267813,0.30436715769307765,0.22083526465472406,-0.004411163375465328,-0.0331296862687208,0.13013460734249832,0.4310030348175881,-0.055350983736616566,-0.29087286340034363,0.4128876999287521,0.2958776892750397,0.4815120969787435,-0.10190439056693748,-0.284118413893819
greek_loutrophoros_iron_age_-500BCE_211,2.1104333077109976,-0.6271701105434253,-1.7769770798282325,0.7314900342970455,-1.2045123038320673,0.4671421322675556,-0.6961240165881375,-0.19323313972367312,0.05436298119789673,-0.2198679387101558,0.2785756772417729,0.12610729402082688,-0.08198263181025872,-0.1608396090147477,0.02457405801834739,-0.064704472678072,0.41284160700955774,-0.19620559884264538,-0.18309591788277663,0.1331337131892316
greek_italiote_loutrophoros_iron_age_-400BCE_246,2.2280340557009013,-2.308611497451805,-2.4945653885481542,1.071965299385226,1.677198094204872,-1.166334692091046,1.7551363610281274,-0.4347543520155067,0.09962365136660453,-0.1758413643277628,0.5218668711586408,-0.6569021547220331,0.04218537299471317,-0.3707587868752404,0.4477989960099464,0.09317503653237447,-0.23560618563999397,-0.2153033182373443,0.10629657943138571,0.18504739833964937
greek_italiote_loutrophoros_iron_age_-350BCE_291,0.19026387264653558,-2.0207325833631113,1.7823761817352417,-0.0618636228846291,1.7569961228369895,1.4474040514724358,-0.07593742078819032,-0.4408241130015943,1.8610905421096917,0.8235718784306371,0.20633090350455782,-0.11620422923317682,0.27020278194465613,0.11071058138892761,-0.13410670257806884,-0.08756655532936053,-0.30675537319263674,0.20629891379915619,0.12779718495668424,0.2582259438684449
