,greek_pelike_iron_age_-500BCE_57,greek_pelike_iron_age_-400BCE_137,greek_pelike_iron_age_-300BCE_293,greek_pelike_iron_age_-450BCE_37,greek_pelike_iron_age_-450BCE_32,greek_pelike_iron_age_-350BCE_74,greek_italiote_pelike_hellenistic_age_-350BCE_114,greek_italiote_pelike_iron_age_-350BCE_202,greek_italiote_pelike_iron_age_-350BCE_209,greek_italiote_pelike_iron_age_-400BCE_44,greek_italiote_pelike_hellenistic_age_-300BCE_258,greek_italiote_pelike_iron_age_-350BCE_204,greek_loutrophoros_iron_age_-450BCE_158,greek_loutrophoros_hellenistic_age_-150BCE_295,greek_loutrophoros_iron_age_-600BCE_288,greek_loutrophoros_iron_age_-500BCE_213,greek_loutrophoros_iron_age_-450BCE_164,greek_loutrophoros_iron_age_-500BCE_211,greek_italiote_loutrophoros_iron_age_-400BCE_246,greek_italiote_loutrophoros_iron_age_-350BCE_291,greek_italiote_loutrophoros_iron_age_-400BCE_247,greek_italiote_loutrophoros_iron_age_-400BCE_244,greek_italiote_loutrophoros_iron_age_-400BCE_245,greek_italiote_loutrophoros_iron_age_-400BCE_243,greek_amphora_iron_age_-550BCE_4,greek_amphora_iron_age_-350BCE_143,greek_amphora_iron_age_-450BCE_26,greek_amphora_iron_age_-350BCE_142,greek_amphora_iron_age_-350BCE_146,greek_amphora_iron_age_-550BCE_6,greek_italiote_amphora_iron_age_-400BCE_81,greek_italiote_amphora_iron_age_-400BCE_86,greek_italiote_amphora_iron_age_-400BCE_88,greek_italiote_amphora_iron_age_-400BCE_90,greek_italiote_amphora_hellenistic_age_-300BCE_221,greek_italiote_amphora_iron_age_-450BCE_265,greek_amphora_iron_age_-1000BCE_155,greek_amphora_iron_age_-1050BCE_277,greek_amphora_iron_age_-1000BCE_152
greek_italiote_pelike_hellenistic_age_-300BCE_258,0.3625407576267864,0.2789444912450236,0.3087903348172374,0.369729619336532,0.24095004403782747,0.27570565341712955,0.2703589935921023,0.3837475407546333,0.25604346523475613,0.3997473369257272,0.0,0.23872086425975567,0.24340254225776084,0.4398971995149215,0.2963674830294337,0.24576764111877694,0.3668493136344576,0.32136768113712055,0.3335925623948781,0.3158781117211551,0.4265340264556802,0.3435681632513226,0.2955545865274481,0.31527574333056857,0.3934088457926138,0.28451774048309175,0.3262845712994326,0.2861865490177106,0.31381980777321195,0.2996366778940991,0.3726168274059174,0.3132879836560384,0.32806160935200346,0.38790074840978056,0.31522940016314505,0.3563511044698231,0.30231739379178296,0.49489697383293935,0.34077514019671507
greek_italiote_pelike_iron_age_-350BCE_204,0.31616753688909793,0.25394392120582737,0.36732407717329285,0.263352160437827,0.2159054582844201,0.2768713700339674,0.31206080103820577,0.3137394470177042,0.239275483731873,0.3880538829152779,0.23872086425975567,0.0,0.3342154548239926,0.4907845224127366,0.36159771276996944,0.33433481442619617,0.4060437665399716,0.39422080334899534,0.4300043068307895,0.31540488949097406,0.43864396653487964,0.3121227145738197,0.3029764484258576,0.3297899493207626,0.3522250970180749,0.23877508804633316,0.31480077236857107,0.27244554949208233,0.27460273467255314,0.27630966751317604,0.37115003764307125,0.2731731080466355,0.2915634491071441,0.36349729523578495,0.31936425055723083,0.29448310311914905,0.29720182678921764,0.4337213084747467,0.3200624443422525
greek_loutrophoros_iron_age_-450BCE_158,0.47791418397320834,0.3979819832555575,0.37814047954738134,0.43162152860728875,0.3496840879268469,0.3833216844307051,0.37654784670928376,0.46962608850850657,0.2929629715215305,0.4602076377479609,0.24340254225776084,0.3342154548239926,0.0,0.37267506206639905,0.2871429044290604,0.19440805879640038,0.32224077313966837,0.25986071762244844,0.296635168805462,0.28103754968919753,0.4755764886867202,0.3158811691977664,0.2735954991596672,0.27368366268771,0.4508789030273637,0.26775928695562445,0.39022232194006895,0.3052330408102358,0.3139903115277625,0.33781485470158235,0.4275965263662304,0.2837894105602755,0.41537500546721473,0.36238439673002754,0.31262873465097807,0.4028540540472504,0.32741174900182524,0.5836964333570873,0.41578844725551856
greek_loutrophoros_hellenistic_age_-150BCE_295,0.46546476001500137,0.6020577758201193,0.4934147777041856,0.5410882493422994,0.45840431750589206,0.5503182766402673,0.5461492579656996,0.4030724805449239,0.46671598059071706,0.44681166265539796,0.4398971995149215,0.4907845224127366,0.37267506206639905,0.0,0.3345420242862318,0.3356876059578972,0.16471811296484207,0.2590560087370429,0.3335955465666615,0.46991043661961474,0.3786486723813511,0.4554735595003197,0.3938757494418978,0.3756609220215189,0.4558360397707342,0.3776470497471455,0.3659949232402496,0.41749206020478713,0.34850987714391163,0.3887193891928359,0.4164630988031433,0.32815118238543034,0.3822917931168655,0.278362313279081,0.3210334550462861,0.377607464519633,0.36104341645541527,0.5641177708046075,0.5002252504672243
greek_loutrophoros_iron_age_-600BCE_288,0.37323109795172055,0.42134312605765284,0.2736607354055727,0.3750102871117233,0.2657952744730772,0.3309865442824275,0.31955167180102906,0.4094409956362306,0.343075148595859,0.28469927823704916,0.2963674830294337,0.36159771276996944,0.2871429044290604,0.3345420242862318,0.0,0.21335709348730042,0.2856544266300356,0.18072081288953906,0.30725904558542466,0.3389165326809014,0.3819284837620914,0.3320582173880226,0.2660673764093774,0.2969469861962986,0.3723125259499618,0.3399065871554471,0.29148592047849375,0.29172691144440177,0.3123045206539054,0.2910472927783906,0.3326554213019021,0.3370342060948619,0.321508730287962,0.3866543680930849,0.28153701778717743,0.35100483879539457,0.2241251567975476,0.4587668907367563,0.3042364827147173
greek_loutrophoros_iron_age_-500BCE_213,0.4375813854982164,0.4096689182244281,0.3379520824139228,0.44078879520457886,0.30947627493154634,0.33241417546793584,0.3570794621888901,0.43116832309883607,0.3012842113579327,0.3941774509392195,0.24576764111877694,0.33433481442619617,0.19440805879640038,0.3356876059578972,0.21335709348730042,0.0,0.2557174520249662,0.163713217444649,0.26780741639268923,0.28804556241132767,0.4162949722492767,0.30898390362157696,0.2250886155761013,0.22149997606085772,0.38833463204813545,0.26521664168400455,0.2927972971950405,0.26403062195214116,0.25298722093614606,0.2765816059600969,0.34061267054436833,0.2571032120062011,0.2963401625478734,0.34284184189581385,0.22162625612129708,0.32698722879690895,0.2712467679360281,0.5358419249123528,0.361778638229118
greek_loutrophoros_iron_age_-450BCE_164,0.3718125227257984,0.5376167634811813,0.4234517920500574,0.48779265474388567,0.3863766183812496,0.4931529184410754,0.478823604230443,0.32549939416369206,0.3813476250517889,0.38877887532893857,0.3668493136344576,0.4060437665399716,0.32224077313966837,0.16471811296484207,0.2856544266300356,0.2557174520249662,0.0,0.2129292602731877,0.31439448666072894,0.37269432542261255,0.3287833446689241,0.37813885419484505,0.3348494293548542,0.2879303534208544,0.40420323768073835,0.32838875093321546,0.31137907492878253,0.3534153361484281,0.30429680738476905,0.3387853179817335,0.36487324446680247,0.2865319685466634,0.31122148142956013,0.23447143182809824,0.2487547414704027,0.3246267929810175,0.29395539743357724,0.5164252197519276,0.45500269881627325
greek_loutrophoros_iron_age_-500BCE_211,0.38328521138671634,0.4868952594243328,0.3209951208638963,0.43953478989212114,0.32747093110558745,0.3876911356424879,0.38554384249311263,0.3920135112928875,0.33935127119678804,0.34977639247719666,0.32136768113712055,0.39422080334899534,0.25986071762244844,0.2590560087370429,0.18072081288953906,0.163713217444649,0.2129292602731877,0.0,0.27371368096549753,0.37407066482765505,0.39517242294388755,0.3600872073476348,0.25961855688719,0.31542685199430787,0.37422996301382855,0.3253924453652397,0.27993840278107385,0.2859279715552774,0.2775324686625336,0.2992103438929391,0.3210897288043179,0.2766387979916238,0.28771889228077835,0.3225397286507386,0.21197746793009184,0.32856765536734805,0.24341187689076782,0.494458185846761,0.37128969810972107
greek_italiote_loutrophoros_iron_age_-400BCE_246,0.493295548054418,0.4705348982317808,0.3714924440009124,0.5093475954957237,0.4098125268350306,0.41809294990689816,0.36162656331124954,0.48459489815946094,0.4483396619241209,0.4004100664066462,0.3335925623948781,0.4300043068307895,0.296635168805462,0.3335955465666615,0.30725904558542466,0.26780741639268923,0.31439448666072894,0.27371368096549753,0.0,0.3885234998237089,0.38232875507430203,0.3792130088047467,0.34066518159188725,0.3110919250617727,0.5005417103116244,0.39291523201984974,0.38945730874278806,0.393666189478816,0.40586060894325043,0.4096482564578052,0.4305968920550702,0.41729501797318386,0.43559304162499923,0.4300359088601392,0.35961894277078854,0.4388368443831486,0.40336438376906225,0.5361204616742873,0.4245041127204565
greek_italiote_loutrophoros_iron_age_-350BCE_291,0.4347309362801042,0.33692598105289073,0.42484098159151323,0.3510554958656149,0.3081141020277054,0.34663629886123365,0.3281370351684309,0.4274451450586618,0.2815910377234596,0.419570648253566,0.3158781117211551,0.31540488949097406,0.28103754968919753,0.46991043661961474,0.3389165326809014,0.28804556241132767,0.37269432542261255,0.37407066482765505,0.3885234998237089,0.0,0.33443538167997117,0.23181024905028794,0.21797777442190636,0.194960367552604,0.3717891340574368,0.2495691917898562,0.3309152710407158,0.26700098490096974,0.27805195737257826,0.2943210353639066,0.3819436338889103,0.31198363757589687,0.3088909770593505,0.36453904799955633,0.3311095499661895,0.3459800854977027,0.32977431291434234,0.5011869366966817,0.3681291159237126
