,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38
greek_italiote_pelike_hellenistic_age_-300BCE_258,-0.3426887337727535,-2.2739092292001146,-0.6625698814185528,-1.6810975700841122,-0.6631141275967141,-0.8793276084470713,0.4012152565918871,0.6179420070117965,-0.36397678437084313,1.7312788295160904,-0.6093282656838488,-0.015242915953271985,-0.5679828080503697,-0.13102518993683454,-0.008676747680263122,0.11244013889127917,0.10189437657355345,0.04199125824470776,-0.08939575397679328,0.0796063830950416,0.004549801110457094,-0.19157758209910972,-0.1374299757536725,-0.029357848597325983,0.03107812199307465,0.14971330929275858,0.17032111548460688,-0.06612528693061287,-0.13967466109229332,-0.0005105032673286894,0.1586138848924697,-0.007059765442247554,-0.0880869250218512,-0.05014164019862795,-0.04294336136132677,0.027425641400144453,-0.06214532360473674,-0.04585123395435897
greek_italiote_pelike_iron_age_-350BCE_204,-1.211480478326139,-0.8399642087252565,0.8705307719666597,-2.4124213234449856,-0.16704916648009516,-1.3732454588268848,-0.2570283972798862,0.019506061629612985,-0.015053109751482607,-0.5676027583516348,-0.0023718970679978274,-0.07392588584695671,0.13707175046593179,-0.7433546314587318,-0.1695308526111391,-0.4960014237689276,0.1431503011443801,0.016869736357421554,0.32803211093381124,0.25857082621842226,-0.14024393754005665,-0.15621043604032966,-0.17118265156482568,-0.1680683666591649,-0.08716195761337288,0.10039771794749561,-0.1869658617029997,0.07870073099472637,-0.09419889481414984,0.15768309991644971,-0.025628660217700286,0.05153953200334624,0.2395295007912509,0.015627131984165155,0.012023621525434874,0.07442057609951072,0.03055106235389278,0.032806575774547514
greek_loutrophoros_iron_age_-450BCE_158,1.7184633049198206,-3.4418998125976916,0.02149710169506667,-0.5678671171537074,-0.48927204056587215,0.46844759276905173,0.15473476444560452,0.6831505893151549,0.07307024697444914,-0.06753311048316672,-0.0697009149169586,-0.15060392147561444,-0.11361921155163698,0.21877672809279292,-0.13225125140109076,0.14463051324992832,0.24008892110719757,0.024445028419284344,-0.23963894595944665,-0.03755626832609478,-0.17660256841985464,-0.31336963021849795,0.23433523671073442,0.20984998024778756,-0.008097461713786246,-0.1396382670428984,-0.24004586971084588,0.3285688527907686,-0.17148803803654164,-0.03935850613418407,-0.16166835881932579,0.07429877494097244,0.027475585766403562,-0.07317908505703276,0.05359290502244507,-0.20973662534223392,0.052344695157139645,0.026706431844991683
greek_loutrophoros_hellenistic_age_-150BCE_295,4.614370335676146,0.9248723981694753,-1.6212879120190251,0.24273745682306574,-0.9808268031079368,-0.36058620774122574,0.45931341264403636,0.8214022274745032,0.011257620517029915,-0.5432364236618668,-0.3205995314987432,-0.2865742370746768,-0.11678236728279902,0.6332049058078113,-0.6284823386394904,-0.21116897722214117,-0.47958417024837513,0.30275772031505643,0.1318392413064868,0.17454225772593693,0.30832440922954363,-0.06452954857311423,-0.22132601132000176,0.024731875663940014,-0.055103997891012335,-0.09618199541668215,-0.009287140496436544,-0.023501426253767943,0.06998224462325446,-0.05330124780030765,0.13042332040179672,0.1252317109004625,0.024443271628691983,0.06050156239779963,0.030278247427647856,0.022950498588787935,0.0062574931322348926,-0.014919570651012952
greek_loutrophoros_iron_age_-600BCE_288,0.8257036029778138,-1.3849868647134118,-1.8846949824404216,0.310253940511518,-0.007335550364382781,1.00322030626437,-0.7857398266931999,-0.04509575389512549,0.17573181316904563,-0.21395016851361762,0.45079616668650657,0.8577487505781587,-0.8257474969094896,0.13268305222543317,0.33264422861600884,-0.5608109591131316,0.03178595306971442,-0.12671600349120357,0.08330087368926153,0.07749641147140343,-0.08354456471784007,0.07670178567426199,-0.19359978344250223,0.0495564236391322,0.3324445999238451,-0.0027923729261433803,-0.0545800971185684,0.12336122218957592,-0.08343576719698033,-0.10801355249155783,0.013648161445844962,-0.016316563762440443,-0.061371451331673314,-0.07036427210078722,0.04585218233469844,0.17734460209906933,0.038313706523240475,0.009962805144671193
greek_loutrophoros_iron_age_-500BCE_213,1.777725659561957,-2.305122636516809,-0.6039979729392482,0.7094302507488397,-0.5218370558195721,-0.08068729237866457,-0.2723990827901083,-0.08906348818634388,-0.09342949046114604,-0.08153618873911433,0.1868154511892992,-0.006851018385983412,-0.38423371575198856,-0.2632139613333835,0.06486548171081195,0.0718059051652747,0.18240286330326147,0.09387114569375599,0.47984618912973814,-0.049621320422683426,0.1744376222988702,-0.10724977703450547,0.2466816318031944,0.1224262567024916,-0.05033744823768406,-0.10013072469446391,-0.3066220007851903,-0.4826671390818338,0.029823497441042825,0.13566917387855337,-0.0711471042085384,-0.13707875058164232,-0.14261087800562963,0.057103273536975516,-0.04567873368243479,-0.01951899546327789,0.011675371346901905,-0.005157570519349077
greek_loutrophoros_iron_age_-450BCE_164,3.6481973367603717,0.7710225057438327,-1.3812997314564024,-0.3083940463534216,-0.2124925960371412,0.08305815654588262,-0.45126145793267813,0.3043671576930777,0.22083526465472403,-0.004411163375465328,-0.03312968626872087,0.13013460734249838,0.43100303481758795,-0.05535098373661674,-0.2908728634003436,0.41288769992875185,0.2958776892750396,0.4815120969787434,-0.10190439056693755,-0.2841184138938191,-0.6037786917352121,0.18766452190753974,-0.07475144656607645,-0.1332949296489723,0.025603810849309058,0.26561158806041557,-0.024382354290516828,-0.027522946545332883,0.12006837590973261,-0.010004828902867632,-0.02852410542416354,-0.13840447354369417,-0.00372313455332398,-0.010751762810781225,-0.023982681985930177,0.07391036778854987,0.09766569209248756,-0.0387980297386835
greek_loutrophoros_iron_age_-500BCE_211,2.1104333077109976,-0.6271701105434253,-1.7769770798282323,0.7314900342970456,-1.2045123038320669,0.4671421322675557,-0.6961240165881376,-0.1932331397236732,0.05436298119789672,-0.21986793871015567,0.278575677241773,0.12610729402082682,-0.08198263181025858,-0.16083960901474778,0.02457405801834746,-0.06470447267807203,0.41284160700955774,-0.19620559884264518,-0.1830959178827767,0.1331337131892315,0.03067574478797651,-0.2520202542365052,0.29848190037598027,-0.12058622043941677,-0.14039522141152178,-0.07974449912138903,0.46124064810399945,-0.09439053049999285,0.1718961082080035,0.04259800581197469,0.04020530427973459,0.05946361601913224,0.24000106709939134,-0.04831911250446789,0.0012073856039808706,-0.004263767669660808,-0.08799384769569478,-0.004622958466398467
greek_italiote_loutrophoros_iron_age_-400BCE_246,2.2280340557009013,-2.308611497451804,-2.4945653885481534,1.071965299385226,1.6771980942048725,-1.166334692091046,1.7551363610281272,-0.43475435201550666,0.09962365136660443,-0.1758413643277627,0.5218668711586404,-0.6569021547220333,0.04218537299471298,-0.37075878687524033,0.44779899600994616,0.09317503653237427,-0.2356061856399942,-0.215303318237344,0.10629657943138572,0.1850473983396494,-0.15249188066642821,0.12704102118045066,-0.04490742296887459,0.014483194919374068,0.04233885209889935,0.08187305156401832,0.10807762836268361,0.10100600648625851,0.10628872839081127,-0.0603749150260508,-0.1579563266590853,0.027471332445288023,-0.06885937205504251,-0.014192346019043477,-0.024083929229702497,-0.015736055209605464,-0.04196997430256527,-0.019092126106510454
greek_italiote_loutrophoros_iron_age_-350BCE_291,0.19026387264653533,-2.0207325833631113,1.7823761817352417,-0.061863622884629224,1.7569961228369895,1.4474040514724362,-0.07593742078819049,-0.44082411300159435,1.8610905421096917,0.8235718784306367,0.20633090350455774,-0.11620422923317686,0.2702027819446562,0.1107105813889276,-0.13410670257806864,-0.08756655532936046,-0.3067553731926368,0.20629891379915571,0.1277971849566843,0.2582259438684449,-0.0036784403668047062,-0.13602192238861321,-0.03159197308553461,-0.09378193085109672,-0.10469624481597264,-0.020386751770632316,-0.008203072798520908,-0.02491572146704514,0.012254639913582166,-0.0067424007879733905,0.017169426755013206,-0.06314145151585777,0.06446882041167612,0.03578047909119274,0.0017557434718513051,0.012112755539208625,-0.0405087299401607,-0.037773658350085365
